"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
"Total"	"Brevard County, FL"	"12009"			Not Applicable	8.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	286325	286325.00
	"Broward County, FL"	"12011"	"1981"	"1981"	4	4.00	0.00	0	0.00	0.00	0	0.00	0.00	1056530	1056530.00
"Total"	"Broward County, FL"	"12011"			Not Applicable	4.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	1056530	1056530.00
	"Calhoun County, FL"	"12013"	"1981"	"1981"	2	2.00	0.00	9	9.00	0.00	14	14.00	0.00	9276	9276.00
"Total"	"Calhoun County, FL"	"12013"			Not Applicable	2.00	0.00	Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	9276	9276.00
	"Charlotte County, FL"	"12015"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	5	5.00	0.00	63453	63453.00
"Total"	"Charlotte County, FL"	"12015"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	63453	63453.00
	"Citrus County, FL"	"12017"	"1981"	"1981"	10	10.00	0.00	4	4.00	0.00	11	11.00	0.00	59692	59692.00
"Total"	"Citrus County, FL"	"12017"			Not Applicable	10.00	0.00	Not Applicable	4.00	0.00	Not Applicable	11.00	0.00	59692	59692.00
	"Clay County, FL"	"12019"	"1981"	"1981"	16	16.00	0.00	5	5.00	0.00	8	8.00	0.00	70711	70711.00
"Total"	"Clay County, FL"	"12019"			Not Applicable	16.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	70711	70711.00
	"Collier County, FL"	"12021"	"1981"	"1981"	2	2.00	0.00	0	0.00	0.00	2	2.00	0.00	93737	93737.00
"Total"	"Collier County, FL"	"12021"			Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	93737	93737.00
	"Columbia County, FL"	"12023"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	10	10.00	0.00	36589	36589.00
"Total"	"Columbia County, FL"	"12023"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	36589	36589.00
	"DeSoto County, FL"	"12027"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	5	5.00	0.00	19743	19743.00
"Total"	"DeSoto County, FL"	"12027"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	19743	19743.00
	"Dixie County, FL"	"12029"	"1981"	"1981"	5	5.00	0.00	6	6.00	0.00	14	14.00	0.00	7921	7921.00
"Total"	"Dixie County, FL"	"12029"			Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	Not Applicable	14.00	0.00	7921	7921.00
	"Duval County, FL"	"12031"	"1981"	"1981"	16	16.00	0.00	5	5.00	0.00	9	9.00	0.00	581948	581948.00
"Total"	"Duval County, FL"	"12031"			Not Applicable	16.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	581948	581948.00
	"Escambia County, FL"	"12033"	"1981"	"1981"	8	8.00	0.00	13	13.00	0.00	18	18.00	0.00	240950	240950.00
"Total"	"Escambia County, FL"	"12033"			Not Applicable	8.00	0.00	Not Applicable	13.00	0.00	Not Applicable	18.00	0.00	240950	240950.00
	"Flagler County, FL"	"12035"	"1981"	"1981"	17	17.00	0.00	4	4.00	0.00	6	6.00	0.00	12367	12367.00
"Total"	"Flagler County, FL"	"12035"			Not Applicable	17.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	12367	12367.00
	"Franklin County, FL"	"12037"	"1981"	"1981"	8	8.00	0.00	9	9.00	0.00	14	14.00	0.00	7764	7764.00
"Total"	"Franklin County, FL"	"12037"			Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	7764	7764.00
	"Gadsden County, FL"	"12039"	"1981"	"1981"	4	4.00	0.00	12	12.00	0.00	13	13.00	0.00	42106	42106.00
"Total"	"Gadsden County, FL"	"12039"			Not Applicable	4.00	0.00	Not Applicable	12.00	0.00	Not Applicable	13.00	0.00	42106	42106.00
	"Gilchrist County, FL"	"12041"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	10	10.00	0.00	6396	6396.00
"Total"	"Gilchrist County, FL"	"12041"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	6396	6396.00
	"Glades County, FL"	"12043"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	3	3.00	0.00	6050	6050.00
"Total"	"Glades County, FL"	"12043"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	6050	6050.00
	"Gulf County, FL"	"12045"	"1981"	"1981"	10	10.00	0.00	9	9.00	0.00	14	14.00	0.00	10542	10542.00
"Total"	"Gulf County, FL"	"12045"			Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	10542	10542.00
	"Hamilton County, FL"	"12047"	"1981"	"1981"	7	7.00	0.00	8	8.00	0.00	8	8.00	0.00	8888	8888.00
"Total"	"Hamilton County, FL"	"12047"			Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	8888	8888.00
	"Hardee County, FL"	"12049"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	5	5.00	0.00	20438	20438.00
"Total"	"Hardee County, FL"	"12049"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	20438	20438.00
	"Hendry County, FL"	"12051"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	3	3.00	0.00	19918	19918.00
"Total"	"Hendry County, FL"	"12051"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	19918	19918.00
	"Hernando County, FL"	"12053"	"1981"	"1981"	5	5.00	0.00	3	3.00	0.00	8	8.00	0.00	50665	50665.00
"Total"	"Hernando County, FL"	"12053"			Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	Not Applicable	8.00	0.00	50665	50665.00
	"Highlands County, FL"	"12055"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	3	3.00	0.00	50376	50376.00
"Total"	"Highlands County, FL"	"12055"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	50376	50376.00
	"Hillsborough County, FL"	"12057"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	9	9.00	0.00	671519	671519.00
"Total"	"Hillsborough County, FL"	"12057"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	9.00	0.00	671519	671519.00
	"Holmes County, FL"	"12059"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	15	15.00	0.00	15114	15114.00
"Total"	"Holmes County, FL"	"12059"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	15.00	0.00	15114	15114.00
	"Indian River County, FL"	"12061"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	3	3.00	0.00	64048	64048.00
"Total"	"Indian River County, FL"	"12061"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	64048	64048.00
	"Jackson County, FL"	"12063"	"1981"	"1981"	7	7.00	0.00	11	11.00	0.00	13	13.00	0.00	39817	39817.00
"Total"	"Jackson County, FL"	"12063"			Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	39817	39817.00
	"Jefferson County, FL"	"12065"	"1981"	"1981"	4	4.00	0.00	10	10.00	0.00	10	10.00	0.00	10818	10818.00
"Total"	"Jefferson County, FL"	"12065"			Not Applicable	4.00	0.00	Not Applicable	10.00	0.00	Not Applicable	10.00	0.00	10818	10818.00
	"Lafayette County, FL"	"12067"	"1981"	"1981"	7	7.00	0.00	8	8.00	0.00	12	12.00	0.00	4044	4044.00
"Total"	"Lafayette County, FL"	"12067"			Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	Not Applicable	12.00	0.00	4044	4044.00
	"Lake County, FL"	"12069"	"1981"	"1981"	8	8.00	0.00	3	3.00	0.00	6	6.00	0.00	109946	109946.00
"Total"	"Lake County, FL"	"12069"			Not Applicable	8.00	0.00	Not Applicable	3.00	0.00	Not Applicable	6.00	0.00	109946	109946.00
	"Lee County, FL"	"12071"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	2	2.00	0.00	219121	219121.00
"Total"	"Lee County, FL"	"12071"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	219121	219121.00
	"Leon County, FL"	"12073"	"1981"	"1981"	2	2.00	0.00	12	12.00	0.00	13	13.00	0.00	154160	154160.00
"Total"	"Leon County, FL"	"12073"			Not Applicable	2.00	0.00	Not Applicable	12.00	0.00	Not Applicable	13.00	0.00	154160	154160.00
	"Levy County, FL"	"12075"	"1981"	"1981"	6	6.00	0.00	4	4.00	0.00	12	12.00	0.00	20856	20856.00
"Total"	"Levy County, FL"	"12075"			Not Applicable	6.00	0.00	Not Applicable	4.00	0.00	Not Applicable	12.00	0.00	20856	20856.00
	"Liberty County, FL"	"12077"	"1981"	"1981"	4	4.00	0.00	10	10.00	0.00	14	14.00	0.00	4278	4278.00
"Total"	"Liberty County, FL"	"12077"			Not Applicable	4.00	0.00	Not Applicable	10.00	0.00	Not Applicable	14.00	0.00	4278	4278.00
	"Madison County, FL"	"12079"	"1981"	"1981"	7	7.00	0.00	10	10.00	0.00	8	8.00	0.00	15164	15164.00
"Total"	"Madison County, FL"	"12079"			Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	15164	15164.00
	"Manatee County, FL"	"12081"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	8	8.00	0.00	157582	157582.00
"Total"	"Manatee County, FL"	"12081"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	8.00	0.00	157582	157582.00
	"Marion County, FL"	"12083"	"1981"	"1981"	9	9.00	0.00	4	4.00	0.00	7	7.00	0.00	131188	131188.00
"Total"	"Marion County, FL"	"12083"			Not Applicable	9.00	0.00	Not Applicable	4.00	0.00	Not Applicable	7.00	0.00	131188	131188.00
	"Martin County, FL"	"12085"	"1981"	"1981"	12	12.00	0.00	3	3.00	0.00	3	3.00	0.00	68608	68608.00
"Total"	"Martin County, FL"	"12085"			Not Applicable	12.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	68608	68608.00
	"Miami-Dade County, FL"	"12086"	"1981"	"1981"	3	3.00	0.00	0	0.00	0.00	2	2.00	0.00	1713402	1713402.00
"Total"	"Miami-Dade County, FL"	"12086"			Not Applicable	3.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	1713402	1713402.00
	"Monroe County, FL"	"12087"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	65915	65915.00
"Total"	"Monroe County, FL"	"12087"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	65915	65915.00
	"Nassau County, FL"	"12089"	"1981"	"1981"	17	17.00	0.00	7	7.00	0.00	11	11.00	0.00	33721	33721.00
"Total"	"Nassau County, FL"	"12089"			Not Applicable	17.00	0.00	Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	33721	33721.00
	"Okaloosa County, FL"	"12091"	"1981"	"1981"	8	8.00	0.00	15	15.00	0.00	16	16.00	0.00	113739	113739.00
"Total"	"Okaloosa County, FL"	"12091"			Not Applicable	8.00	0.00	Not Applicable	15.00	0.00	Not Applicable	16.00	0.00	113739	113739.00
	"Okeechobee County, FL"	"12093"	"1981"	"1981"	10	10.00	0.00	3	3.00	0.00	3	3.00	0.00	22002	22002.00
"Total"	"Okeechobee County, FL"	"12093"			Not Applicable	10.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	22002	22002.00
	"Orange County, FL"	"12095"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	3	3.00	0.00	490148	490148.00
"Total"	"Orange County, FL"	"12095"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	490148	490148.00
	"Osceola County, FL"	"12097"	"1981"	"1981"	7	7.00	0.00	3	3.00	0.00	3	3.00	0.00	56020	56020.00
"Total"	"Osceola County, FL"	"12097"			Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	56020	56020.00
	"Palm Beach County, FL"	"12099"	"1981"	"1981"	7	7.00	0.00	2	2.00	0.00	2	2.00	0.00	621659	621659.00
"Total"	"Palm Beach County, FL"	"12099"			Not Applicable	7.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	621659	621659.00
	"Pasco County, FL"	"12101"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	9	9.00	0.00	207832	207832.00
"Total"	"Pasco County, FL"	"12101"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	9.00	0.00	207832	207832.00
	"Pinellas County, FL"	"12103"	"1981"	"1981"	3	3.00	0.00	5	5.00	0.00	10	10.00	0.00	749298	749298.00
"Total"	"Pinellas County, FL"	"12103"			Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	Not Applicable	10.00	0.00	749298	749298.00
	"Polk County, FL"	"12105"	"1981"	"1981"	5	5.00	0.00	3	3.00	0.00	3	3.00	0.00	333837	333837.00
"Total"	"Polk County, FL"	"12105"			Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	333837	333837.00
	"Putnam County, FL"	"12107"	"1981"	"1981"	13	13.00	0.00	4	4.00	0.00	8	8.00	0.00	51757	51757.00
"Total"	"Putnam County, FL"	"12107"			Not Applicable	13.00	0.00	Not Applicable	4.00	0.00	Not Applicable	8.00	0.00	51757	51757.00
	"St. Johns County, FL"	"12109"	"1981"	"1981"	17	17.00	0.00	5	5.00	0.00	10	10.00	0.00	54519	54519.00
"Total"	"St. Johns County, FL"	"12109"			Not Applicable	17.00	0.00	Not Applicable	5.00	0.00	Not Applicable	10.00	0.00	54519	54519.00
	"St. Lucie County, FL"	"12111"	"1981"	"1981"	11	11.00	0.00	3	3.00	0.00	4	4.00	0.00	95541	95541.00
"Total"	"St. Lucie County, FL"	"12111"			Not Applicable	11.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	95541	95541.00
	"Santa Rosa County, FL"	"12113"	"1981"	"1981"	8	8.00	0.00	16	16.00	0.00	17	17.00	0.00	59020	59020.00
"Total"	"Santa Rosa County, FL"	"12113"			Not Applicable	8.00	0.00	Not Applicable	16.00	0.00	Not Applicable	17.00	0.00	59020	59020.00
	"Sarasota County, FL"	"12115"	"1981"	"1981"	4	4.00	0.00	5	5.00	0.00	8	8.00	0.00	213187	213187.00
"Total"	"Sarasota County, FL"	"12115"			Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	213187	213187.00
	"Seminole County, FL"	"12117"	"1981"	"1981"	10	10.00	0.00	3	3.00	0.00	3	3.00	0.00	190390	190390.00
"Total"	"Seminole County, FL"	"12117"			Not Applicable	10.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	190390	190390.00
	"Sumter County, FL"	"12119"	"1981"	"1981"	6	6.00	0.00	3	3.00	0.00	8	8.00	0.00	25131	25131.00
"Total"	"Sumter County, FL"	"12119"			Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	Not Applicable	8.00	0.00	25131	25131.00
	"Suwannee County, FL"	"12121"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	12	12.00	0.00	23179	23179.00
"Total"	"Suwannee County, FL"	"12121"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	12.00	0.00	23179	23179.00
	"Taylor County, FL"	"12123"	"1981"	"1981"	6	6.00	0.00	8	8.00	0.00	10	10.00	0.00	16804	16804.00
"Total"	"Taylor County, FL"	"12123"			Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	Not Applicable	10.00	0.00	16804	16804.00
	"Union County, FL"	"12125"	"1981"	"1981"	8	8.00	0.00	7	7.00	0.00	12	12.00	0.00	10220	10220.00
"Total"	"Union County, FL"	"12125"			Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	Not Applicable	12.00	0.00	10220	10220.00
	"Volusia County, FL"	"12127"	"1981"	"1981"	9	9.00	0.00	3	3.00	0.00	3	3.00	0.00	271941	271941.00
"Total"	"Volusia County, FL"	"12127"			Not Applicable	9.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	271941	271941.00
	"Wakulla County, FL"	"12129"	"1981"	"1981"	4	4.00	0.00	9	9.00	0.00	12	12.00	0.00	10884	10884.00
"Total"	"Wakulla County, FL"	"12129"			Not Applicable	4.00	0.00	Not Applicable	9.00	0.00	Not Applicable	12.00	0.00	10884	10884.00
	"Walton County, FL"	"12131"	"1981"	"1981"	6	6.00	0.00	9	9.00	0.00	15	15.00	0.00	21869	21869.00
"Total"	"Walton County, FL"	"12131"			Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	Not Applicable	15.00	0.00	21869	21869.00
	"Washington County, FL"	"12133"	"1981"	"1981"	5	5.00	0.00	9	9.00	0.00	14	14.00	0.00	14816	14816.00
"Total"	"Washington County, FL"	"12133"			Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	14816	14816.00
	"Appling County, GA"	"13001"	"1981"	"1981"	17	17.00	0.00	11	11.00	0.00	12	12.00	0.00	15375	15375.00
"Total"	"Appling County, GA"	"13001"			Not Applicable	17.00	0.00	Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	15375	15375.00
	"Atkinson County, GA"	"13003"	"1981"	"1981"	17	17.00	0.00	11	11.00	0.00	14	14.00	0.00	6181	6181.00
"Total"	"Atkinson County, GA"	"13003"			Not Applicable	17.00	0.00	Not Applicable	11.00	0.00	Not Applicable	14.00	0.00	6181	6181.00
	"Bacon County, GA"	"13005"	"1981"	"1981"	16	16.00	0.00	11	11.00	0.00	15	15.00	0.00	9479	9479.00
"Total"	"Bacon County, GA"	"13005"			Not Applicable	16.00	0.00	Not Applicable	11.00	0.00	Not Applicable	15.00	0.00	9479	9479.00
	"Baker County, GA"	"13007"	"1981"	"1981"	10	10.00	0.00	13	13.00	0.00	14	14.00	0.00	3779	3779.00
"Total"	"Baker County, GA"	"13007"			Not Applicable	10.00	0.00	Not Applicable	13.00	0.00	Not Applicable	14.00	0.00	3779	3779.00
	"Baldwin County, GA"	"13009"	"1981"	"1981"	16	16.00	0.00	9	9.00	0.00	15	15.00	0.00	35432	35432.00
"Total"	"Baldwin County, GA"	"13009"			Not Applicable	16.00	0.00	Not Applicable	9.00	0.00	Not Applicable	15.00	0.00	35432	35432.00
	"Banks County, GA"	"13011"	"1981"	"1981"	10	10.00	0.00	8	8.00	0.00	8	8.00	0.00	8699	8699.00
"Total"	"Banks County, GA"	"13011"			Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	8699	8699.00
	"Barrow County, GA"	"13013"	"1981"	"1981"	14	14.00	0.00	9	9.00	0.00	9	9.00	0.00	21987	21987.00
"Total"	"Barrow County, GA"	"13013"			Not Applicable	14.00	0.00	Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	21987	21987.00
	"Bartow County, GA"	"13015"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	5	5.00	0.00	41420	41420.00
"Total"	"Bartow County, GA"	"13015"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	41420	41420.00
	"Ben Hill County, GA"	"13017"	"1981"	"1981"	25	25.00	0.00	15	15.00	0.00	17	17.00	0.00	16285	16285.00
"Total"	"Ben Hill County, GA"	"13017"			Not Applicable	25.00	0.00	Not Applicable	15.00	0.00	Not Applicable	17.00	0.00	16285	16285.00
	"Berrien County, GA"	"13019"	"1981"	"1981"	22	22.00	0.00	12	12.00	0.00	16	16.00	0.00	13703	13703.00
"Total"	"Berrien County, GA"	"13019"			Not Applicable	22.00	0.00	Not Applicable	12.00	0.00	Not Applicable	16.00	0.00	13703	13703.00
	"Bibb County, GA"	"13021"	"1981"	"1981"	18	18.00	0.00	11	11.00	0.00	15	15.00	0.00	151160	151160.00
"Total"	"Bibb County, GA"	"13021"			Not Applicable	18.00	0.00	Not Applicable	11.00	0.00	Not Applicable	15.00	0.00	151160	151160.00
	"Bleckley County, GA"	"13023"	"1981"	"1981"	17	17.00	0.00	12	12.00	0.00	15	15.00	0.00	10845	10845.00
"Total"	"Bleckley County, GA"	"13023"			Not Applicable	17.00	0.00	Not Applicable	12.00	0.00	Not Applicable	15.00	0.00	10845	10845.00
	"Brantley County, GA"	"13025"	"1981"	"1981"	15	15.00	0.00	10	10.00	0.00	11	11.00	0.00	8900	8900.00
"Total"	"Brantley County, GA"	"13025"			Not Applicable	15.00	0.00	Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	8900	8900.00
	"Brooks County, GA"	"13027"	"1981"	"1981"	14	14.00	0.00	9	9.00	0.00	13	13.00	0.00	15302	15302.00
"Total"	"Brooks County, GA"	"13027"			Not Applicable	14.00	0.00	Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	15302	15302.00
	"Bryan County, GA"	"13029"	"1981"	"1981"	14	14.00	0.00	12	12.00	0.00	10	10.00	0.00	10575	10575.00
"Total"	"Bryan County, GA"	"13029"			Not Applicable	14.00	0.00	Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	10575	10575.00
	"Bulloch County, GA"	"13031"	"1981"	"1981"	14	14.00	0.00	9	9.00	0.00	10	10.00	0.00	36755	36755.00
"Total"	"Bulloch County, GA"	"13031"			Not Applicable	14.00	0.00	Not Applicable	9.00	0.00	Not Applicable	10.00	0.00	36755	36755.00
	"Burke County, GA"	"13033"	"1981"	"1981"	12	12.00	0.00	9	9.00	0.00	11	11.00	0.00	19640	19640.00
"Total"	"Burke County, GA"	"13033"			Not Applicable	12.00	0.00	Not Applicable	9.00	0.00	Not Applicable	11.00	0.00	19640	19640.00
	"Butts County, GA"	"13035"	"1981"	"1981"	13	13.00	0.00	9	9.00	0.00	11	11.00	0.00	13733	13733.00
"Total"	"Butts County, GA"	"13035"			Not Applicable	13.00	0.00	Not Applicable	9.00	0.00	Not Applicable	11.00	0.00	13733	13733.00
	"Calhoun County, GA"	"13037"	"1981"	"1981"	13	13.00	0.00	13	13.00	0.00	19	19.00	0.00	5782	5782.00
"Total"	"Calhoun County, GA"	"13037"			Not Applicable	13.00	0.00	Not Applicable	13.00	0.00	Not Applicable	19.00	0.00	5782	5782.00
	"Camden County, GA"	"13039"	"1981"	"1981"	14	14.00	0.00	10	10.00	0.00	15	15.00	0.00	14734	14734.00
"Total"	"Camden County, GA"	"13039"			Not Applicable	14.00	0.00	Not Applicable	10.00	0.00	Not Applicable	15.00	0.00	14734	14734.00
	"Candler County, GA"	"13043"	"1981"	"1981"	15	15.00	0.00	8	8.00	0.00	9	9.00	0.00	7492	7492.00
"Total"	"Candler County, GA"	"13043"			Not Applicable	15.00	0.00	Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	7492	7492.00
	"Carroll County, GA"	"13045"	"1981"	"1981"	2	2.00	0.00	5	5.00	0.00	7	7.00	0.00	57874	57874.00
"Total"	"Carroll County, GA"	"13045"			Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	57874	57874.00
	"Catoosa County, GA"	"13047"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	4	4.00	0.00	37508	37508.00
"Total"	"Catoosa County, GA"	"13047"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	4.00	0.00	37508	37508.00
	"Charlton County, GA"	"13049"	"1981"	"1981"	17	17.00	0.00	7	7.00	0.00	8	8.00	0.00	7432	7432.00
"Total"	"Charlton County, GA"	"13049"			Not Applicable	17.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	7432	7432.00
	"Chatham County, GA"	"13051"	"1981"	"1981"	17	17.00	0.00	12	12.00	0.00	10	10.00	0.00	206214	206214.00
"Total"	"Chatham County, GA"	"13051"			Not Applicable	17.00	0.00	Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	206214	206214.00
	"Chattahoochee County, GA"	"13053"	"1981"	"1981"	12	12.00	0.00	9	9.00	0.00	13	13.00	0.00	20268	20268.00
"Total"	"Chattahoochee County, GA"	"13053"			Not Applicable	12.00	0.00	Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	20268	20268.00
	"Chattooga County, GA"	"13055"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	4	4.00	0.00	21892	21892.00
"Total"	"Chattooga County, GA"	"13055"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	21892	21892.00
	"Cherokee County, GA"	"13057"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	3	3.00	0.00	54405	54405.00
"Total"	"Cherokee County, GA"	"13057"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	54405	54405.00
	"Clarke County, GA"	"13059"	"1981"	"1981"	16	16.00	0.00	7	7.00	0.00	10	10.00	0.00	77064	77064.00
"Total"	"Clarke County, GA"	"13059"			Not Applicable	16.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	77064	77064.00
	"Clay County, GA"	"13061"	"1981"	"1981"	8	8.00	0.00	12	12.00	0.00	13	13.00	0.00	3557	3557.00
"Total"	"Clay County, GA"	"13061"			Not Applicable	8.00	0.00	Not Applicable	12.00	0.00	Not Applicable	13.00	0.00	3557	3557.00
	"Clayton County, GA"	"13063"	"1981"	"1981"	5	5.00	0.00	9	9.00	0.00	9	9.00	0.00	154515	154515.00
"Total"	"Clayton County, GA"	"13063"			Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	154515	154515.00
	"Clinch County, GA"	"13065"	"1981"	"1981"	15	15.00	0.00	8	8.00	0.00	10	10.00	0.00	6678	6678.00
"Total"	"Clinch County, GA"	"13065"			Not Applicable	15.00	0.00	Not Applicable	8.00	0.00	Not Applicable	10.00	0.00	6678	6678.00
	"Cobb County, GA"	"13067"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	311773	311773.00
"Total"	"Cobb County, GA"	"13067"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	311773	311773.00
	"Coffee County, GA"	"13069"	"1981"	"1981"	18	18.00	0.00	11	11.00	0.00	13	13.00	0.00	27113	27113.00
"Total"	"Coffee County, GA"	"13069"			Not Applicable	18.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	27113	27113.00
	"Colquitt County, GA"	"13071"	"1981"	"1981"	24	24.00	0.00	15	15.00	0.00	18	18.00	0.00	35735	35735.00
"Total"	"Colquitt County, GA"	"13071"			Not Applicable	24.00	0.00	Not Applicable	15.00	0.00	Not Applicable	18.00	0.00	35735	35735.00
	"Columbia County, GA"	"13073"	"1981"	"1981"	10	10.00	0.00	6	6.00	0.00	13	13.00	0.00	41834	41834.00
